Name, Price, 24H Change, 24H Volume, Market Cap
Bitcoin,99279.89,0.53,(34930000000, {1965850000000})
Ethereum,3488.6,-0.41,(18840000000, {420240000000})
Tether,1.0,0.28,(95880000000, {139900000000})
XRP,2.31,-1.16,(4250000000, {132000000000})
BNB,704.79,1.1,(928760000, {101500000000})
Solana,199.18,1.44,(2800000000, {95520000000})
Dogecoin,0.3329,-0.9,(2670000000, {49050000000})
USD Coin,1.0,0.13,(5260000000, {43320000000})
Cardano,0.918,-2.15,(739830000, {32250000000})
TRON,0.2587,0.18,(737210000, {22300000000})
Avalanche,40.55,-1.93,(438790000, {16620000000})
Wrapped Bitcoin,99022.45,0.52,(251950000, {16150000000})
Chainlink,24.66,-0.63,(1080000000, {15730000000})
Toncoin,5.99,3.74,(236140000, {15290000000})
Shiba Inu,2.298e-05,-0.81,(623250000, {13540000000})
Sui,4.55,-2.52,(1280000000, {13310000000})
Hedera,0.3166,-1.99,(1390000000, {12110000000})
Stellar,0.3862,-4.64,(423550000, {11700000000})
Polkadot,7.52,-0.38,(320330000, {11520000000})
Bitcoin Cash,463.06,-2.74,(302450000, {9170000000})
UNUS SED LEO,9.56,1.07,(898830, {8830000000})
Uniswap,13.9,-4.69,(370590000, {8350000000})
Litecoin,109.6,0.12,(503080000, {8260000000})
Bitget Token,5.7,15.76,(612870000, {7980000000})
Pepe,1.854e-05,-3.72,(1760000000, {7800000000})
NEAR Protocol,5.48,-1.69,(320870000, {6670000000})
Aave,371.54,-1.33,(711760000, {5580000000})
Internet Computer,11.26,0.59,(187760000, {5380000000})
Dai,1.0,0.24,(123430000, {5390000000})
Aptos,9.67,-1.21,(318390000, {5380000000})
Polygon Ecosystem Token,0.5143,-2.72,(198450000, {4320000000})
Cronos,0.1583,-4.63,(40310000, {4330000000})
VeChain,0.05207,-2.06,(96800000, {4220000000})
Mantle,1.24,0.4,(146050000, {4180000000})
Ethereum Classic,27.42,-2.93,(222400000, {4120000000})
Render Token,7.56,-3.89,(339060000, {3920000000})
bittensor,502.58,0.9,(235250000, {3710000000})
WhiteBIT Token,25.07,0.51,(36340000, {3610000000})
Monero,195.61,1.87,(73880000, {3610000000})
MANTRA,3.78,-0.32,(40470000, {3590000000})
Arbitrum,0.8038,-2.41,(326440000, {3380000000})
Artificial Superintelligence Alliance,1.35,-2.92,(225940000, {3300000000})
Filecoin,5.32,-3.07,(266680000, {3270000000})
Algorand,0.3867,-2.83,(209160000, {3220000000})
Virtual Protocol,3.12,1.26,(292780000, {3120000000})
Kaspa,0.1203,-0.42,(140400000, {3060000000})
Ethena,1.03,-2.59,(344140000, {3010000000})
OKB,47.81,1.46,(3370000, {2870000000})
Fantom,0.9794,-1.3,(349460000, {2750000000})
Cosmos,7.0,-1.4,(172780000, {2740000000})
